Topic,2013,2014,2015,2016
Advanced Manufacturing & Engineering,0,1,1,1
3D Modeling,0,4,4,4
Cloud Computing,5,17,24,28
Mumbai Drupal Users,1,1,1,1
Technical Certification,0,1,1,1
New Product Development: Software & Tech,0,0,1,1
Learn Wordpress,1,1,1,1
Technology,5,13,18,18
Quantified Self,1,1,1,1
Medical Device Technology,1,1,1,1
WooCommerce,0,0,1,2
VHDL,0,1,1,1
RC Models,0,1,1,1
eMail & eCommerce Marketing,0,0,1,1
Getting started with Python,0,1,1,1
PHP Framework,0,4,4,4
Big Data Ingestion,0,0,0,2
Web Security,0,2,3,3
Video Game Development,0,0,1,1
Wireless Sensor Networks,0,1,1,1
Organic Search Engine Optimization,0,1,1,1
Apache Spark,0,0,1,3
Customer Experience Surveys,0,1,1,1
Agile Coaching,0,1,3,5
ReactJS,0,0,1,1
WordPress Workshops,0,1,1,1
Automation,0,0,1,1
User Interface Design,0,3,4,4
Quality Assurance,1,2,3,3
AngularJS,1,4,4,4
Email Deliverability,0,0,1,1
Business Applications and the Cloud,0,0,1,1
Computer Technology,0,1,1,1
Scala Programming,0,1,1,1
JavaScript,3,11,17,18
Concurrent Programming,0,0,1,1
Networking for Graphic Designers & Marketing Pros,0,1,1,1
Health Information Technology,0,0,1,1
Group Study,0,1,1,1
Blender 3D,0,1,1,1
Smart cities,0,1,1,1
change the World,0,1,1,1
Cisco Systems,0,1,1,1
WordPress SEO,1,2,4,4
Apple Software,0,1,1,1
Docker,0,2,3,3
Semiconductor,0,1,1,1
Open Source,6,23,36,42
UX Design,0,5,6,6
Linux Networking,0,1,1,1
Healthcare Solutions,0,0,1,1
Successful Startup Founders,0,2,3,3
Prototyping,1,2,2,2
Neo4j,2,2,2,2
cofounderslab,0,1,1,1
iOS Platform,0,1,1,1
IBM,1,1,3,3
Science,0,0,0,1
Game Programming,0,0,1,1
Intellectual Discussion,0,0,1,1
Windows Phone,1,1,1,1
UI/UX,0,2,2,2
bitcoin traders,1,2,3,3
Disaster recovery,0,0,1,1
Statistical Modeling,0,1,2,2
User Centered Design,0,1,1,1
Learning Joomla,0,1,1,1
Lean Startup,0,4,8,9
Decentralization,0,0,1,1
Cloud applications,0,0,1,1
Startup Pitching,0,2,4,4
DuckDuckGo,0,0,1,1
Marketing,0,1,2,2
React Native,0,0,1,1
Software Configuration Management,0,1,1,1
RC Cars,0,1,1,1
Artificial Intelligence Applications,0,0,2,3
Google SEO,0,2,2,2
Spark,0,0,1,1
AWS design implementation and servicing,0,1,1,1
Blogging,0,3,5,5
Scala Play Framework,0,1,1,1
Apache Kafka,0,0,0,2
Digital Marketing Professionals,0,1,1,1
"Women ""StartUp"" Entrepreneurs",0,1,2,2
Makerspaces,2,5,6,7
Usability testing,0,1,1,1
VR Glasses,0,0,0,1
Smartphone,0,1,1,1
Blackberry,0,1,1,1
3D Artists,0,1,1,1
Entreprenuers,0,1,1,1
Cognos,0,0,1,1
Python,0,3,6,8
Apple,0,1,1,1
Meeting People that Make a Difference,0,1,1,1
Digital Marketing Strategy,0,2,2,2
Community,0,1,1,1
Machine Learning,1,9,17,19
Functional Programming in Python,0,1,1,1
IT Professionals,0,5,5,5
WordPress,1,3,6,7
Linux,1,6,8,8
Platform Evangelism,0,0,1,1
Mobile App,0,0,1,1
Learn SEO Basics,0,2,2,2
Blender,0,1,1,1
J2EE,0,1,1,1
CISSP,0,1,1,1
entrepreneur matchmaking,0,1,1,1
Oracle Big Data Appliance,0,0,0,1
Professional Networking,2,5,8,8
Freelance Content Writers,0,0,1,1
Oracle APEX Development,0,0,0,1
Network Architecture,0,0,1,1
Microsoft Office 365 public cloud-based technology,0,0,1,1
WordPress Users,1,2,2,2
GraphLab,0,0,0,1
Electrical Engineering,0,1,1,1
Elixir Programming,0,0,1,1
R Users Group,1,1,1,1
eCommerce Marketing,0,2,3,3
Digital Media,0,1,1,1
Scaled Agile Framework (SAFe),0,0,0,1
Python Web Development,0,1,2,3
Entrepreneurs & Network Marketers Connecting,0,1,1,1
Rich Internet Applications,1,1,1,1
High Scalability Computing,3,4,7,8
Usability,1,5,5,5
FPGA,0,1,1,1
Experience Design,0,1,1,1
Startup Businesses,5,13,21,24
Joomla,0,1,1,1
Dan Kennedy Style Marketing,0,1,1,1
Mixed Reality,0,0,0,1
App Development,0,0,1,1
Wordpress Help,1,1,1,1
Aerial videography,0,2,2,2
Open source tools,0,1,1,1
Digital Marketing through Emerging Technologies,0,1,1,1
Smart Home,0,3,3,3
Internet Startup Idea Group,0,1,1,1
Drupal Mastering,1,1,1,1
Mobile Design,0,0,1,1
Amazon Simple Storage Service (Amazon S3),1,1,1,1
Zend Framework,0,2,2,2
Hobbies,0,0,1,1
Interaction Design,0,5,5,5
Women Entrepreneurs,1,3,6,7
Customer Feedback,0,1,1,1
Data Center and Operations Automation,0,3,4,4
Software QA and Testing,1,2,3,3
Windows Mobile,1,1,1,1
Science Technology Engineering Math,0,1,1,1
Perl,0,0,1,1
Mobile Game Development,0,0,1,1
Heroku,1,1,1,1
Advertising and marketing - digital and print,0,0,1,1
Cloud Computing Security,0,1,1,1
C#.NET,0,1,1,1
indian startups,1,1,1,1
WordPress Training,1,1,2,2
JQuery,1,1,3,3
Kanban,0,0,2,3
Web Design,3,12,15,16
Play Framework,0,1,1,1
Make a difference,0,1,1,1
CEM,0,1,1,1
Apex Development,1,1,1,2
Ansible,0,1,2,2
Microsoft Access,0,1,1,1
Leveraging Big Data,0,1,3,3
Creative Design,0,1,1,1
Founder Institute,0,1,1,1
Indie Games,0,0,1,1
Oracle Weblogic,0,0,0,1
Computer Security,0,2,4,4
Independent Game Development,0,0,1,2
CSS,0,0,1,1
Quad Copters,0,1,1,1
Software Development,8,34,48,55
Wordpress Themes,1,3,4,5
Education,0,1,1,1
WordPress Small Business Web Sites,1,1,3,3
Big Data,4,19,32,39
ASP.NET,0,1,2,2
Money,1,1,2,2
Functional Programming,1,3,4,5
Bluetooth Low Energy,0,2,2,2
Smart City,0,1,1,1
Software Testing,1,2,3,3
Wearable Technologies,0,1,1,1
Hardware Hacks & Gadgeteering,1,1,1,1
Using MongoDB in the cloud,1,1,1,1
New Technology,6,27,38,43
Mobile User Experience,0,3,5,5
rapid prototyping,0,2,2,2
Amazon Web Services,2,4,4,5
Email Marketing (Ecommerce),0,0,1,1
Database Professionals,2,5,5,6
Arduino,1,4,5,6
Information Technology in Business,0,1,1,1
M2M Devices,0,3,3,3
Web Standards,1,1,1,1
ASP.NET MVC,0,1,2,2
Social Innovation,0,0,1,1
Medicine,0,0,1,1
co-founder,0,1,1,1
Mathematical Modelling,0,1,1,1
Hadoop Analytics,0,1,1,1
Explore: Agile Scrum XP Lean Kanban,0,0,0,1
Design Strategy,0,1,1,1
APIs,0,0,1,1
test,0,0,1,1
Ember JS,1,2,3,3
Axure RP Interactive Wireframing,0,1,1,1
Web Services,1,2,2,2
indian cofounders,1,1,1,1
Data,0,2,2,2
ITIL ITSM,0,1,1,1
DIY (Do It Yourself),1,4,6,7
Customer Satisfaction,0,1,1,1
Six Sigma,0,0,1,1
Developing Mobile Apps,0,0,1,1
Technology Innovation,0,0,1,1
Ruby On Rails,0,1,2,2
IOT hacking,0,2,2,2
Database Development,3,6,7,8
Computer programming,10,35,45,48
EC2,1,2,2,2
"Game Design, Game Modding, 3D Modeling",0,1,1,1
Oracle,0,0,0,1
Kx,0,0,1,1
Motion Graphics,0,2,2,2
Test Automation Frameworks,0,1,1,1
Affiliate Marketing,1,1,1,1
MongoDB,3,6,6,6
Statistical Computing,1,1,1,1
Programming Languages,0,6,6,6
Deep Learning,0,0,1,2
Agile Project Management,1,3,6,8
Objective C,1,2,3,3
Unix,0,1,1,1
Product Management,0,0,1,1
User experience design,0,3,3,3
Be the Change You Wish to See in the World,0,1,1,1
Cassandra,1,1,1,1
Knowledge Sharing,0,0,0,1
3D Animation,0,2,2,2
Healthcare Innovation,0,0,1,1
UI Design,0,4,5,5
Animation,0,1,1,1
Matlab,0,1,1,1
Copywriting,0,1,1,1
Decentralized Systems,0,0,1,1
iOS Game Development,0,1,1,1
Hacking together Art Design and Code,0,1,1,1
Internet of Things,0,6,7,9
Youth Mentoring,0,1,1,1
BlackBerry Application Development,0,1,1,1
Quadcopters,0,1,1,1
Online Marketing,2,11,13,14
Windows Azure Platform,0,1,2,2
Test Automation,1,2,3,3
Web Application,0,0,0,1
Stream Processing,0,0,0,1
Apache Apex,0,0,0,2
online,0,1,1,1
Gadget Lovers,1,1,1,1
Continuous Integration,0,1,1,1
Entrepreneur Networking,0,1,3,4
QA Professionals,0,1,1,1
Amazon Relational Database Service (Amazon RDS),1,1,1,1
WordPress for Business,1,1,3,3
Windows Phone Developers,1,1,1,1
System Administration,0,3,4,4
Multicopters,0,1,1,1
IaaS (Infrastructure as a Service),1,5,6,7
Pay Per Click,0,1,1,1
Writing for Blogs,0,1,1,1
Building an Online Business,0,1,2,2
Personal Achievement,0,0,1,1
Cryptocurrency,1,2,3,3
Woodworking,1,1,1,1
eCommerce Technology,0,2,3,3
Online Retailers,0,1,1,1
Mobile Web Services,0,1,1,1
Help for Business Startups,0,2,3,3
SEO for Small to Medium Sized Businesses,0,3,3,3
Customer Experience Management,0,1,1,1
Small Business Technology,1,1,1,1
JavaScript Frameworks,2,5,8,8
Hadoop,5,9,15,17
SEO for Magento,0,1,1,1
Alternative Currency,0,0,1,1
Amazon Elastic MapReduce (Amazon EMR),1,1,1,1
BlackBerry Development,0,1,1,1
Innovation,0,2,5,6
Riak,1,1,1,1
Math,0,1,1,1
R Project for Statistical Computing,1,1,2,2
BlueMix,0,1,3,4
Server Side Javascript,0,0,1,1
Weekend Adventures,0,0,0,1
AWS,1,3,3,4
Search Engine Marketing,0,4,5,5
Network Engineering,0,1,1,1
Salesforce.com,1,1,1,1
Engineering Students,0,1,1,1
ElasticSearch,0,0,1,1
Drupal Users,1,1,1,1
Elixir,0,0,1,1
SEO for Small Businesses,0,1,1,1
.net development,0,1,1,1
Web Service Security,0,1,1,1
Configuration Management,0,3,4,4
Data Scientist,0,1,1,1
Artificial Intelligence Machine Learning Robotics,0,0,2,3
Testing Tools,0,1,2,2
Agile Leadership,0,1,3,5
Product Design,1,3,4,4
Mentor,0,1,1,1
Single Page Applications,0,1,1,1
Fitness,1,1,1,1
Entertainment Industry,0,1,1,1
Distributed Systems,0,0,1,1
Customer Experience,0,1,1,1
Salesforce.com Users,1,1,1,1
User experience research,0,2,2,2
Women Entrepreneur,0,1,1,1
E-Commerce,0,3,7,9
Blogging for Business,0,1,1,1
Object Oriented programming,0,1,1,1
Open source python,0,2,2,2
PHP,2,8,8,10
JIRA,0,1,1,1
Venture Capital,1,2,3,3
Blogging to Promote Yourself,0,0,1,1
Network Security,0,2,3,3
Scrum Master,0,0,0,1
CCIE Routing & Switching,0,1,1,1
Cisco Career Certifications,0,1,1,1
Software Design,0,1,1,1
analytics,0,0,1,1
Verilog,0,1,1,1
Founders,1,2,2,2
Color theory,0,0,1,1
Android,1,2,3,3
Artificial Intelligence Programming,0,0,2,3
Social Media,0,4,5,6
hackathons,0,1,1,2
Scrum,1,2,5,7
Business Referral Networking,2,3,3,3
Healthcare IT,0,0,1,1
Joomla Users,0,1,1,1
Scaling Agile,0,0,1,2
Data Analytics,2,15,25,28
Mobile Development,5,22,27,29
Data Journalism,0,1,1,1
Apache Lucene and Solr Open Source Search,0,0,1,1
RC Planes: Remote Controlled,0,2,2,2
Wellness,1,1,1,1
Education & Technology,0,0,0,3
Graphic Design Professionals,0,1,1,1
BlackBerry 10,0,1,1,1
Visualforce Development,1,1,1,1
Penetration Testing,0,1,1,1
Data Science using Python,0,0,1,3
Cloud Networking,0,0,1,1
Mobile Cloud,0,0,1,1
Amazon Elastic Load Balancing,1,1,1,1
e-commerce business,0,2,4,4
Internet Professionals,3,9,10,10
Mobile Games,1,1,1,1
MapReduce,2,5,11,13
Business Startup,0,1,1,1
Search Engines,0,0,1,1
CCIE Voice,0,1,1,1
Ecommerce & Social Media,0,1,2,2
Predictive Analytics,1,5,11,15
"""Cloud Computing"" How to use it for your business",0,1,1,1
Professional Development,1,3,4,6
Information Architecture,0,1,1,1
Genetics,0,0,1,1
Mesh Networks,0,0,1,1
ECommerce Workshops,0,0,1,1
Big Data Analytics,1,8,16,18
GNU/linux,0,1,1,1
SaaS (Software as a Service),2,4,5,5
OpenStack,0,2,3,4
cloud services in healthcare,0,0,1,1
Service Catalogue Management,0,1,1,1
Decentralized Applications,0,0,1,1
Digital Marketer,0,1,1,1
ERP Consulting,0,0,1,1
C#,0,1,2,2
SEO Video Marketing,0,2,2,2
Internet Startups,0,6,12,13
Aerial photography,0,2,2,2
Digital marketing workshop,0,1,1,1
ADO.NET Entity Framework,0,1,1,1
Online Advertising,0,0,1,1
Doctors,0,0,1,1
Enterprise Search,0,0,1,1
.NET,0,0,1,1
Social Coding,0,1,1,2
New Product Development Professionals: NPDP,0,0,1,1
UAV,0,2,2,2
Data Science,1,8,15,17
Splunk,0,1,1,1
SAS,0,1,2,2
Arduino and Robotics,0,1,1,1
Digital Currency,1,2,3,3
Information Technology,1,5,6,6
Smart Property,0,0,1,1
Cloud Foundry,0,1,2,3
E-Commerce - Internet Marketing,0,1,2,2
ServiceNow,0,1,1,1
E-Commerce Professionals,0,1,1,1
User Experience,1,6,9,9
User Group,0,1,1,1
.net developers,0,1,1,1
Test Driven Development,1,2,4,5
Google adWords,0,1,1,1
Startup Incubation,0,1,2,2
3DMedia,0,1,1,1
Small Business,1,3,4,5
Internet e-Business & Startups,0,1,1,1
Agile Testing,1,2,4,4
Ember Data,0,1,1,1
"CCNP, CCIE",0,1,1,1
Selenium,1,1,2,2
Hybrid Cloud,0,0,1,1
Apache Cordova,0,1,1,1
oracle developer/programmer,0,0,0,1
Mobile Marketing,0,0,2,2
JavaScript Applications,0,0,1,1
Angel Investors,1,1,1,1
Healthy Living,1,1,1,1
Video Games,0,0,0,1
How to Market Your Business through Blogging,0,1,1,1
Autodesk Maya,0,1,1,1
Wireframing,0,1,1,1
Wordpress Plugins,1,2,4,5
couchdb,0,1,1,1
Platform as a Service,0,1,2,2
What is Bitcoin,1,2,3,3
healthcare technology,0,0,1,1
BigDataDevelopers,1,1,1,1
Open Source Content Management,0,1,1,1
User Experience Optimization,0,2,2,2
nodeJS,1,6,7,7
Visualforce,1,1,1,1
Geeks & Nerds,0,1,1,1
SEO (Search Engine Optimization),1,8,8,9
HTML5,1,3,4,4
Video Game Developers,0,0,1,1
Fashion Bloggers,0,0,1,1
Software Security,0,1,2,2
Software Engineering,0,1,1,1
Joomla users and developers,0,1,1,1
PhoneGap,0,1,1,1
Start-up,0,1,1,1
Young Entrepreneur,0,0,0,1
SEO Business Development,0,2,2,2
beginner php programming,0,2,2,2
Makers,1,2,2,3
LAMP,1,4,4,4
Hardware Engineering,1,2,2,2
Front-end Development,1,2,3,3
iPhone,0,0,1,1
Digital Marketing,1,3,4,4
3D Printing,1,2,2,3
Open Source Frameworks,1,2,2,2
Bitcoin,1,2,3,3
Microcontrollers,1,2,3,3
Startups meet VCs and Angel Investors,1,1,1,1
Creating Amazon Cloud Applications,0,0,1,1
Email Campaign Management,0,0,1,1
Open Standards,0,0,1,1
Gaming,0,0,1,1
iOS Development,3,8,12,14
Data Visualization,2,11,18,22
Hacker News,0,1,1,1
Graphical User Interfaces,0,1,1,1
Multi-Rotor Aircraft,0,2,2,2
Health and Technology,0,0,1,1
Agile Transformation,0,0,1,1
Apache Hadoop,0,1,2,2
Raspberry Pi,0,1,2,2
Adobe Creative Suite,0,1,1,1
WordPress Developers,1,2,4,4
Embedded Systems,0,1,2,2
Help Desk,0,1,1,1
Free Software Foundation,0,1,1,1
CCIE,0,1,1,1
Lean Six Sigma,0,0,1,1
Drupal,2,2,2,2
Direct Response Marketing,0,1,1,1
Joomla Mastering,0,1,1,1
iOS,1,4,6,6
RC Helicopters: Remote Controlled Helis,0,2,2,2
Women Science Technology Engineering & Mathematics,0,1,1,1
CMS (Content Management Systems),2,4,4,5
Applied Statistics,1,2,2,2
Data Mining,2,10,19,21
Oracle Business Solutions,0,0,0,1
Cloud Storage,0,1,2,2
Web Technology,5,21,30,31
Leadership,0,0,1,1
Python/Linux devop,0,1,1,1
Drone,0,2,2,2
SEO for Local Business,0,2,2,2
Robotics,2,3,5,5
Starting an E-Commerce Bus,0,1,1,1
CCNA,0,1,1,1
Learning,0,0,0,1
Cloud Computing Strategies and Roadmaps,0,1,2,3
Internet Retail,0,1,1,1
Custom Cars,0,1,1,1
Data Management,0,1,2,2
Small Business Marketing Strategy,1,1,1,1
Java,1,2,2,2
Scala,0,1,2,2
Industrial Design,1,1,1,1
Women in Technology,0,1,1,1
Software Defined Networking,0,0,1,1
Digital Marketing Analytics,0,2,2,2
Technology Professionals,2,4,4,4
Programmers,1,2,2,2
Cryptography,1,1,2,2
lean,0,0,1,1
DevOps,0,5,8,8
PaaS: Platform as a Service,2,3,4,4
Cloud Security,0,1,4,4
Continuous Delivery,0,3,4,4
Sensors,0,3,3,3
Ruby,0,1,2,2
Android Development,3,10,11,14
PHP CMS,0,1,1,1
Mobile App Development,1,1,1,1
Content Strategy,0,3,3,3
Customer Service,0,1,1,1
PaaS (Platform as a Service),1,5,7,8
Microsoft .Net User Group,0,1,1,1
Wordpress Customization,1,3,4,5
Professional Blogging,0,1,2,2
Growth Hacking,0,0,1,1
Extreme Programming,1,1,4,6
Radio Control Flying,0,2,2,2
Healthcare Big Data,0,0,1,1
Venture Capital Firms,1,1,1,1
Courses and Workshops,0,0,0,1
WordPress Websites,1,1,2,2
Business Strategy,0,3,5,7
Open Source Cloud,0,1,1,1
Big Data Developers,0,1,3,3
Machine-to-Machine,0,3,3,3
mobile analytics,1,1,1,1
Games,0,0,1,2
Learning Drupal,1,1,1,1
Best Practices for High Performance eCommerce,0,2,4,4
PHP Application Development,0,4,4,5
Smart Contracts,0,0,1,1
CCIE Cisco Certified Internetwork Expert,0,1,1,1
neural networks,0,0,2,2
UX / UI Design,0,2,2,2
Bring Angel Investors and Startups Together,1,1,1,1
Web Application Security,0,2,4,4
Radio Control,0,1,1,1
White Hat Hacking,0,2,3,3
Embedded Systems Programming,0,1,1,1
web application development,0,0,0,1
Disruptive innovation,0,0,1,1
Meteor,1,1,1,1
Statistics and data analysis,1,1,1,1
BI on Cloud,0,0,1,1
Content Marketing,1,3,3,3
Opscode Chef,0,1,1,1
early stage investors,1,1,1,1
Smart Grid,0,3,3,3
BigData,1,1,1,1
Ubuntu,0,1,1,1
Information Security,0,3,6,6
Community Building,0,1,1,1
Web Development,7,34,42,47
Video Game Design,0,0,0,1
Building Drones,0,1,1,1
Load Testing and Performance,1,1,1,1
Web Operations,0,2,2,2
Lean Management,0,0,1,1
Symfony2,0,1,1,1
Graphic Design,0,1,1,1
Open Source Hardware,0,0,1,1
Content Strategy and SEO,0,6,6,6
Ethereum,0,0,1,1
Mobile App Marketing,0,0,1,1
Blog Design,0,1,1,1
Email Campaign Marketing,0,0,1,1
blog marketing,0,1,1,1
Engineering,1,1,1,2
Puppet,0,1,1,1
Drones,0,2,2,2
Graph Databases,1,1,1,1
Entreprenuer networking,0,1,1,1
Startup Weekend,0,0,1,1
Exam preparation,0,1,1,1
KeystoneJS,0,1,1,1
Business Ideas,0,1,1,1
ERP Software,0,0,1,1
Text Analytics,1,1,2,2
Apex,1,1,1,2
Go programming language,0,1,1,1
Mathematica,0,1,1,1
BlackBerry Apps,0,1,1,1
golang,0,1,1,1
Oracle PL/SQL Development,0,0,0,1
Mathematics,0,1,1,1
Electronics,1,4,5,5
Business continuity,0,0,1,1
Bluetooth Technology,0,1,1,1
Learn Blogging,0,1,2,2
Innovations in Software Testing,0,1,1,1
IBM Bluemix,0,1,2,3
Augmented Reality,0,0,0,1
Infrastructure as Code,0,2,3,3
Applied Math,0,1,1,1
Data Analysis and Modeling,0,2,2,2
Open Source Community,1,2,2,2
Laravel,0,2,2,2
mbed developers,0,1,1,1
Share Experiences Knowledge of Product Development,0,0,1,1
College Students,0,0,1,1
Business Growth,0,0,1,1
VB.NET,0,1,1,1
Joomla Extension Development,0,1,1,1
Force.com,1,1,1,1
Business Analytics,1,1,6,6
Telematics,0,1,1,1
WordPress User Community,1,1,1,1
Internet E-Commerce Professionals & Startups,0,1,1,1
Hardware,0,1,1,1
Service-now.com,0,1,1,1
Virtualization,0,6,7,8
Business Intelligence,0,0,3,3
Cloud Analytics,0,0,1,1
Virtual Worlds,0,0,0,1
"HTML, XHTML, CSS & JavaScript",0,0,1,1
Virtual Reality,0,0,0,1
Artificial Intelligence,0,2,5,7
