Topic,2013,2014,2015,2016
UAV,0,0,1,0
Version Control,0,1,0,0
Big Data Developers,0,3,1,0
VMware,0,0,1,0
Marketing,0,1,0,0
Public Cloud,0,1,0,0
Mechanical Engineering,0,1,0,0
Agile Portfolio Management,0,1,0,0
Agile Coaching,0,2,2,2
ReactJS,0,0,0,1
Adobe Creative Suite,0,1,0,0
Information Management,0,1,0,0
Computer Vision,0,1,0,0
User Interface Design,0,1,1,0
Quality Assurance,0,0,1,0
AngularJS,2,3,1,2
Intellectual Discussion,0,0,1,0
JavaScript Libraries,1,4,1,2
Mobile App Marketing,0,0,1,0
Solr,1,0,0,0
Crowdfunding,0,0,1,0
iPhone App Marketing,0,0,1,0
Concurrent Programming,0,1,1,1
Community Service,1,0,0,0
Selenium,0,2,1,0
Arduino Uno,0,0,0,1
Hashtables,0,0,1,0
Java Server Side,0,1,0,0
MVC,0,0,1,0
Smart cities,0,0,0,1
WordPress SEO,0,4,0,1
Apple Software,0,1,0,0
Docker,0,2,2,1
Create a Blog,0,0,1,0
Coffee Talk,0,0,1,0
Benefits of Developing for iPhone Platform,1,0,0,0
Open Source,12,32,12,8
Big Data,8,15,8,5
UX Design,0,3,1,2
Hardware Hacking and Reverse Engineering,0,1,0,0
Prototyping,0,1,0,0
Massively Parallel Processing Databases,1,0,0,0
Network Virtualization,0,0,1,0
iPad Game Development,1,0,0,0
PHP HTML5 Nginx MongoDB Linux,0,1,0,0
WordPress Websites,0,1,0,1
Video Game Development,0,1,0,0
Mobile Marketing Strategies,0,0,1,0
3D Scanning,0,1,0,0
Urban Planning,0,0,0,1
Assist in Creating YouTube Videos,0,0,1,0
JavaScript,0,14,5,4
titanium,0,0,1,0
Big Data for social media,0,2,0,0
Disaster recovery,0,1,0,0
Self-Improvement,0,2,0,0
What is SAP HANA?,0,1,1,0
Social Media for Social Good,0,1,0,0
Learning Joomla,0,1,0,0
Lean Startup,1,2,3,2
Wearable Technologies,0,1,0,1
DuckDuckGo,0,0,1,0
SQL Server 2005,0,1,0,0
Pig and Hadoop,0,1,0,0
Software Architecture,0,2,1,0
SQL Server 2008,0,1,0,0
Lean Project Management,0,1,1,1
Google SEO,0,3,0,0
Spark,1,1,1,0
AWS design implementation and servicing,1,0,1,0
Blogging,0,2,2,0
Web & New Technology,0,2,0,0
DIY Classes,0,1,0,0
Agile Transformation,0,1,1,0
Makerspaces,0,4,0,2
MySQL Cluster,0,1,1,0
Information Dashboard,0,2,0,0
Hive,2,0,0,0
J2EE,0,1,0,0
Drone,0,0,1,0
Day Software,0,1,0,0
Pricing of iPhone Applications,1,0,0,0
Fuel Cells,0,1,0,0
Django,1,2,1,0
Apple,0,1,0,0
Test Automation Frameworks,0,1,0,0
php Women,0,1,0,0
Complexity Analysis,0,0,1,0
What's new with BIG DATA?,0,2,0,0
Machine Learning,4,12,4,1
Online Marketing,4,7,1,1
Product Design,0,1,0,2
WordPress,0,3,1,1
Linux,3,3,3,0
Android App Marketing,1,1,0,0
osgi,0,0,1,0
Mobile App,0,0,1,0
Learn SEO Basics,0,2,0,0
Outbound Training,0,1,0,0
Liferay Training,0,1,0,0
Free World Dialup,1,0,0,0
IBM Bluemix,0,0,0,1
Liferay & LDAP & SSO,0,1,0,0
beginner html css,0,0,0,1
SAP Business Intelligence,0,2,1,0
Database Design & Development,0,0,1,0
Cloud Foundry,0,0,0,1
Oracle Big Data Appliance,0,0,1,0
Testing Web Site Performance,0,1,0,0
Professional Networking,0,2,2,1
Actionscript,0,1,0,0
Freelance Content Writers,1,0,0,0
Oracle APEX Development,0,1,0,1
YouTube Marketing,0,0,1,0
WordPress Users,0,1,0,1
Lectures,0,1,0,0
RAC,0,1,0,0
Google Maps,0,1,0,0
MicroStrategy Best Practices,0,1,0,0
SharePoint Architecture,0,1,0,0
R Users Group,1,1,0,0
eCommerce Marketing,0,1,0,0
Oracle PL/SQL Development,0,1,0,1
Oracle Data Integrator,0,1,0,1
App developers,0,1,0,0
Python Web Development,0,4,0,0
Rich Internet Applications,0,3,0,1
High Scalability Computing,3,2,3,1
Usability,0,2,0,1
IT Recruiter,0,0,1,0
SAP Professional,0,2,1,1
Software Engineers,0,0,1,0
Application Programming Interface,0,1,0,0
Ambassador,0,1,0,0
FPGA,0,1,0,0
White Hat Hacking,0,1,0,0
raspberrypi,0,0,1,0
Agile programming and Python,1,0,0,0
Experience Design,0,1,0,0
Web Content Management,0,0,1,0
Startup Businesses,2,4,6,0
mobile developers,0,1,0,0
All Forms of JavaScript,1,1,0,0
iPhone,3,1,0,0
Embedded Systems Programming,0,1,0,0
Telecommunications Pros,1,1,0,0
Drupal Design & Development,0,1,0,0
SAP BW,0,1,0,0
Free Software Foundation,1,0,0,0
web application development,0,1,1,0
Video and computer animation,0,1,0,0
DBA,0,1,0,0
Social Recruitment,0,0,1,0
Smart Home,0,1,0,1
Drupal Mastering,0,1,0,0
Communication Skills,0,1,0,0
Technical Analysis,0,0,1,0
Console Gaming,0,1,0,0
How to create a great YouTube video,0,0,1,0
Zend Framework,0,1,0,0
Business Management,0,1,0,0
Interaction Design,0,2,1,2
IT Management,0,1,0,0
Building Blackberry apps with Titanium,0,0,1,0
PostgreSQL and Open Source Projects,1,0,1,0
Project Management Coaching,0,1,0,0
Online/ Internet Strategies for Any Home Biz,0,0,1,0
Meteor,1,1,0,1
Software QA and Testing,0,4,1,0
Recruiting,0,0,1,0
EMS electronic manufacturing services,0,1,0,0
Apache Spark,1,3,2,2
Independent Game Development,0,1,0,0
Mobile Game Development,0,1,0,0
Business Intelligence,1,4,1,0
Cloud Security Standards,0,1,0,0
Building Android apps with Appcelerator Titanium,0,0,1,0
Natural Language Processing,2,0,0,0
Cloud Computing Security,0,1,0,0
Xcode Users,1,0,0,0
Building private cloud with OpenStack,1,1,0,0
JQuery,2,5,1,0
Hibernate,0,1,0,0
Google Developer Group,0,1,0,0
Postgres,1,0,1,0
Data Warehouses,1,0,0,0
Play Framework,0,1,0,0
HTML and CSS,0,0,1,1
Magento Developers,1,0,0,0
Apex Development,0,2,0,0
Liferay Support,0,1,0,0
High Performance Computing,0,1,0,0
Android Development Training,0,1,1,0
Service-Oriented Architecture,0,1,0,0
Blogging for Business,0,0,1,0
computer hardware,0,1,0,0
Microsoft Access,0,1,0,0
Google Apps,0,0,0,1
Leveraging Big Data,0,3,0,0
Scrum coaching,0,0,0,1
Enterprise Resource Planning,0,2,0,0
Home Automation,0,0,0,2
Business Innovation,0,1,0,0
Founder Institute,0,1,0,0
oracle database administrator,0,1,0,0
Architecture,0,1,0,0
Computer Security,0,1,0,0
Oracle Application Business Solutions,0,1,0,1
Nonprofit,1,0,0,0
Animation and visual effects,0,1,0,0
CSS,0,1,0,0
Apache Apex,0,0,0,2
Software Development,8,31,14,5
Wordpress Themes,0,2,1,1
Education,0,1,0,0
Learning and Development,0,1,0,0
ColdFusion,1,0,0,0
Functional Programming,1,4,1,1
Online Education,0,1,0,1
Smart City,0,0,0,1
Software Testing,0,3,1,0
Sustainable frameworks in JavaScript,0,1,0,0
Using MongoDB in the cloud,1,0,0,0
Coaching Agile Teams,0,1,0,0
New Technology,7,19,11,6
Mobile User Experience,1,1,4,1
Drupal Designers,0,1,0,0
Portals & Collaboration,0,1,0,0
Amazon Web Services,1,0,3,0
SAP Transportation Management,0,1,0,0
Database Professionals,2,4,2,1
Ruby on Rails Scalability,0,0,1,0
Mozilla,0,1,0,0
Arduino,0,6,2,3
Tinkering,0,1,0,0
3D Artists,0,1,0,0
M2M Devices,0,1,0,0
Web Standards,0,2,0,0
Trainers,0,1,0,0
BigData,0,2,0,0
ASP.NET MVC,0,1,0,0
Social Innovation,0,1,0,0
2D Animation,0,1,0,0
co-founder,0,0,1,0
columnar databases,1,0,0,0
Agile Mindset,0,1,0,0
CFML,1,0,0,0
WordPress Small Business Web Sites,0,1,0,1
APIs,0,1,0,0
Web Design,4,13,2,2
Ember JS,0,1,0,0
Android Enthusiasts,1,1,1,1
Technical Recruiting,0,0,1,0
Web Services,0,1,0,1
Database Development,2,6,3,1
Adobe Experience Manager,0,0,1,0
ITIL ITSM,0,1,0,0
DIY (Do It Yourself),0,5,3,1
WordPress Developers,0,1,0,0
Salesforce.com CRM,0,1,0,0
Internet Online & Web Technology,0,1,0,0
Six Sigma,0,1,0,0
Developing Mobile Apps,0,0,1,0
Ruby On Rails,1,1,1,0
IOT hacking,0,0,1,1
Building iPhone apps with Appcelerator Titanium,0,0,1,0
Supply Chain Management,0,1,0,0
Information Security,0,1,0,0
youtubers,0,0,1,0
Computer programming,9,28,9,1
EC2,1,0,0,0
Landscape Photography,0,0,1,0
Oracle,1,3,0,1
Videoblogging,0,0,1,0
Drupal Users,1,1,0,0
Strengthening Drupal,0,1,0,0
Consulting,0,1,0,0
Parallel Programming,0,1,0,0
Affiliate Marketing,2,0,0,0
Tableau Software,0,1,0,0
MongoDB,4,2,1,1
Statistical Computing,1,0,0,0
Joomla users and developers,0,1,0,0
Adobe Acrobat,0,1,0,0
Agile Project Management,1,7,3,3
Objective C,3,0,0,1
Unix,1,0,0,0
Excel 2010,0,1,0,0
appcelerator,0,0,1,0
beginner web programming,1,0,0,0
Product Management,0,0,0,1
User experience design,0,2,1,1
Digital Innovation,0,0,1,0
Disability Rights,0,2,0,0
Community Outreach,1,0,0,0
Predictive Analytics,3,9,5,3
Nonprofit Marketing,1,0,0,0
Knowledge Sharing,0,1,0,0
Linux User Group,1,0,0,0
3D Animation,0,2,0,0
Content Management Systems,0,0,1,0
Monetizing Blogging,0,0,1,0
ExpressJs,1,0,0,1
UI Design,1,2,1,1
Animation,0,1,0,0
Non-violent Social Change,0,1,0,0
iOS Game Development,1,0,0,0
NLP (Neuro-Linguistic Programming),0,1,0,0
Internet of Things,0,4,3,5
Flex,0,1,0,0
Responsive Web Design,0,1,0,0
Android Game Development,0,2,0,0
Solutions for Raising Capital For Start Ups,0,0,1,0
Windows PowerShell,0,0,1,0
Jasmine,0,0,1,0
Android SDK,0,1,0,0
Test Automation,0,3,1,0
Web Application,0,3,0,0
Fashion Design,0,1,0,0
Binary Search Trees,0,0,1,0
HTML5 Game Development,0,1,0,0
Computer Training,0,1,1,0
Load Testing and Performance,0,0,1,0
Sorted Arrays,0,0,1,0
Technical Training,0,0,1,0
Microsoft Office,0,1,0,0
Continuous Integration,0,1,0,0
Entrepreneur Networking,1,1,3,0
Groovy,0,1,0,0
GTUG,0,1,0,0
Train-The-Trainer (T3),0,1,0,0
QA Professionals,0,0,1,0
Microsoft Excel,0,2,0,0
Computers,0,2,1,0
Sales Training,0,0,1,0
VoIP and Technology,0,1,0,0
Advertising,1,0,0,0
System Administration,0,2,2,0
Business Intelligence Strategy,0,2,0,0
Apple Tech,0,1,0,0
Scrum Development,0,0,0,1
IaaS (Infrastructure as a Service),2,3,1,0
Graphic Design,2,1,1,1
Pay Per Click,1,0,0,0
Google,0,1,0,0
Software Craftsmanship,0,1,0,0
Appcelerator Titanium,0,0,1,0
Building an Online Business,1,1,0,0
Hardware Startups,0,1,0,0
Android App Design,0,1,0,0
Augmented Reality,0,1,0,0
Open Source Community,0,1,0,1
Filmmaking,0,1,0,0
Microsoft Windows Server,0,1,0,0
Robotics Competition,0,1,0,0
Apache Hive,1,0,0,0
Collaboration,0,1,0,0
Operating Systems,1,0,0,0
SEO for Small to Medium Sized Businesses,0,2,0,0
"Network Marketing, Online Advertising",0,1,0,0
"Search, Information Retrieval",1,0,0,0
Salesforce implementation,0,2,0,0
JavaScript Frameworks,2,8,2,3
Flash,0,1,0,0
Hadoop,6,9,3,2
SEO for Magento,1,0,0,0
Sencha Ext JS,0,1,0,0
Salesforce.com Admins,0,2,0,0
Javascript best practices,1,1,0,0
MySQL,1,4,2,1
Tips to Market iPhone Apps,1,0,0,0
Liferay,0,1,0,0
R Project for Statistical Computing,1,2,0,0
programming with html css php mysql,0,0,1,1
M2M,0,1,0,1
Adobe AIR,0,1,0,0
Photography,0,1,1,0
Quora,0,0,1,0
AWS,1,0,1,0
Search Engine Marketing,1,3,0,0
Growth Hacking,0,0,1,0
iOS and Android Application Development,0,0,1,0
Sustainability,0,1,0,0
Salesforce.com,1,3,0,0
Leadership,0,0,1,1
ElasticSearch,1,2,1,0
Motion Graphics,0,1,0,0
Elixir,0,0,1,1
MySQL DBA,0,1,1,0
SEO for Small Businesses,0,2,0,0
QA Tools and Practices,0,0,1,0
Image recognition,1,0,0,0
MicroStrategy Development,0,1,0,0
Business Model Innovation,0,1,0,0
Configuration Management,0,2,2,0
Artificial Intelligence Machine Learning Robotics,0,1,0,0
Yarn,1,0,0,0
Database Integration & Migrations,0,0,1,0
Testing Tools,0,1,1,0
IT Professionals,1,4,2,2
Microsoft Office 365 public cloud-based technology,0,1,0,0
Microcontrollers,0,3,1,3
Distributed Systems,0,1,0,1
Statistical Consulting,1,0,0,0
Product Development,0,0,0,1
PHP Framework,0,3,1,0
Community Organizations,1,0,0,0
Arduino Netduino and Robotics,0,1,0,0
Salesforce.com Users,0,1,0,0
User experience research,0,1,0,0
E-Commerce,2,0,1,1
Web API design,0,1,0,0
Ansible,0,0,1,0
Magento,1,0,0,0
Application Development,0,2,1,1
Erlang Programming,0,1,1,1
Open source python,0,1,0,0
PHP,2,6,1,0
iPad,0,1,0,0
Venture Capital,0,0,2,0
Titan,0,1,0,0
Network Security,0,1,0,0
exploring science,0,1,0,0
CRX,0,1,1,0
Apps,1,0,0,0
Creative Freelancers,0,1,0,0
Spreadsheets,0,1,0,0
Software Design,0,0,1,0
analytics,0,1,0,0
Drupal Developers,1,1,0,0
Salesforce.com Service,0,1,0,0
Founders,0,0,1,0
Disruptive technologies,0,1,0,0
Android,2,2,2,1
CRM,0,0,1,0
Social Media,2,2,3,0
Enterprise Architecture,0,1,0,0
NetSquared,1,0,0,0
Scrum,0,3,3,2
CoffeeScript,1,0,1,0
Apple Mac,0,1,0,0
Cityblogging,0,0,1,0
Scaling Agile,0,1,0,0
Humanoid Robots,0,1,0,0
WordPress Training,0,1,0,0
Data Analytics,7,13,7,4
Mobile Development,5,14,13,3
Data Journalism,1,0,0,0
Apache Lucene and Solr Open Source Search,1,0,0,0
Leadership Development Training & Self-Empowerment,0,1,0,0
Liferay Portlet Development,0,1,0,0
GraphLab,0,0,0,1
User experience practices,0,1,0,0
Education & Technology,0,4,5,1
Nonprofit Technology,1,0,0,0
Visualforce Development,0,1,0,0
Data Science using Python,0,0,0,1
Cloud Networking,0,1,0,0
Educational Workshops & Conferences,0,1,0,0
Internet Professionals,2,7,0,3
Development using PostgreSQL,1,0,1,0
electronics mechanics engineering design,0,1,0,0
iPod,0,1,0,0
MapReduce,5,2,3,1
Full Stack Development,0,0,0,1
iPad and iPhone Users,0,1,0,0
SEM for Magento,1,0,0,0
Business Startup,0,1,0,0
Sustainable Cities,0,0,0,1
Search Engines,1,0,0,0
small business DIY Inventors startups,0,1,0,0
Kanban,0,2,2,1
Project Management Professional,0,1,0,0
Agile Program Management,0,1,0,0
Apps for Smart Cities,0,0,0,1
Cassandra,4,1,0,0
Ruby on Rails 3,0,0,1,0
Makers,0,3,0,1
Professional Development,1,1,1,1
Information Architecture,0,1,1,1
Web 2.0 Strategy,0,1,0,0
Software Product Management,0,0,1,1
Mobile Product Management,0,0,0,1
YouTube,0,0,1,0
Recruiting and Hiring,0,0,1,0
Android Mobile Applications,0,0,1,0
Big Data Analytics,4,10,4,3
Apple/Macintosh technology,0,1,0,0
Computer Education,0,0,1,0
Music,0,1,0,0
SaaS (Software as a Service),2,5,1,0
Apache Sling,0,0,1,0
OpenStack,2,2,1,0
Transformative Social Change,0,1,0,0
ERP Consulting,0,2,0,0
C#,0,1,0,0
SEO Video Marketing,0,1,0,0
Internet Startups,1,2,3,0
JSON,1,0,0,0
Scaled Agile Framework (SAFe),0,1,0,0
Joomla,0,1,0,0
Project Management,0,3,1,0
Database Administrators,0,1,0,0
Digital Signal Processing,0,1,0,0
Autonomous Robots,0,1,0,0
VoIP,0,1,0,0
MicroStrategy Mobile Applications,0,1,0,0
Business Intelligence Tools and Technology,0,1,0,0
Couchbase,0,2,0,0
cofounderslab,0,0,1,0
Data Science,3,7,4,2
Leadership Development,0,2,0,0
Adobe Dreamweaver,0,1,0,0
Google Technology User Group,0,1,0,0
Adobe CQ5,0,0,1,0
Online Learning,0,0,0,1
Arduino and Robotics,0,6,0,3
IPhone IPad IOS developers,1,0,1,1
Information Technology,1,2,2,2
Subversion,0,1,0,0
Social Recruiting,0,0,1,0
ServiceNow,0,1,0,0
User Experience,0,3,1,2
Business Intelligence Best Practices,0,1,0,0
Test Driven Development,0,2,3,0
Help Desk,0,1,0,0
Human-Computer Interaction,0,1,0,0
Service Catalogue Management,0,1,0,0
Small Business,2,0,2,0
Sitecore,0,0,1,0
Internet e-Business & Startups,0,1,0,0
Agile Testing,0,2,1,0
Ember Data,0,1,0,0
Linked Data,1,0,0,0
Print Design,0,1,0,0
Redis,0,1,0,0
Web technology and development,0,1,0,0
Apache Cordova,0,0,0,1
Oracle Weblogic,0,0,0,1
oracle developer/programmer,0,0,0,1
Mobile Marketing,0,0,2,0
Drupal community,0,1,0,0
Artificial Intelligence Applications,0,1,0,0
Apache Kafka,0,1,0,2
Liferay EE,0,1,0,0
Macintosh Computer Users,0,1,0,0
Python,2,5,2,1
couchdb,1,0,0,0
Soft Skills training,0,0,1,0
Conference Planning,0,1,0,0
Containers,0,0,2,0
Open Source Content Management,0,1,0,0
Sensor Fusion,0,0,0,1
CoreOS,0,0,1,0
Business Process Management,0,1,0,0
nodeJS,1,5,3,2
iOS,2,0,2,1
Seed Capital,0,0,1,0
Hobby Electronics,0,1,1,0
IT,0,2,0,0
Asterisk PBX,1,1,0,0
SEO (Search Engine Optimization),4,5,4,0
HTML5,1,9,3,0
student,0,1,0,0
Video Game Developers,0,1,0,0
ColdFusion Frameworks,1,0,0,0
Product Lifecycle Management,0,0,0,1
Microsoft Technology,0,3,0,0
Ionic Framework,0,0,0,1
High Availability and Disaster Recovery,0,1,0,0
Software Engineering,0,3,2,0
Programming Languages,0,14,2,0
Team Building,0,1,1,0
Spring,0,1,0,0
iPhone Fans and Users,1,0,0,0
Eco-Conscious,0,1,0,0
LAMP,1,1,1,0
Hardware Engineering,0,1,0,0
Algorithms,0,0,1,0
Front-end Development,0,1,0,3
The Cloud,1,0,0,0
Fixing,0,1,0,0
Cocoa Programming Language,1,0,0,0
3D Printing,0,7,0,1
Open Source Frameworks,0,1,0,0
Windows Azure Platform,0,1,0,0
MEAN Stack,0,0,0,1
We Are Change,0,1,0,0
Advanced algorithms data structures design pattern,1,0,0,0
Website Design,0,1,0,0
Apple Watch,0,0,0,1
iOS Development,2,6,6,2
Data Visualization,3,9,3,2
Graphical User Interfaces,0,0,1,0
Multi-Rotor Aircraft,0,0,1,0
Asterisk,0,1,0,0
Robots,0,2,0,2
Lisp & Scheme,0,0,1,0
d3.js,0,1,0,0
Openflow,0,0,1,0
Raspberry Pi,0,2,2,1
Computer Science,0,4,0,0
Lego NXT Robots,0,1,0,0
mobile application development,0,0,1,0
e-Learning,1,1,0,1
Embedded Systems,0,3,2,1
Google adWords,0,1,0,0
Blogging to Promote Yourself,0,0,1,0
Text Mining,1,0,0,0
Wordpress Help,0,1,0,0
Sitecore CMS,0,0,1,0
Lean Six Sigma,0,1,0,0
Drupal,2,1,0,0
Design Thinking,0,2,0,0
Joomla Mastering,0,1,0,0
Industrial Internet of Things,0,0,0,1
Grails,0,1,0,0
RC Helicopters: Remote Controlled Helis,0,1,0,0
PMP Exam Prep,0,1,0,0
Apache Sqoop,1,0,0,0
Getting started with Python,0,2,0,0
Applied Statistics,1,2,0,0
Data Mining,4,8,3,1
Oracle Business Solutions,0,0,0,1
Oracle Database Administration,0,0,0,1
Groovy Programming Language,0,1,0,0
Web Technology,7,21,6,3
apache mesos,0,0,1,0
Python/Linux devop,0,1,0,0
Microsoft Technologies,0,1,0,0
Venture Capital and Startup,0,0,1,0
SEO for Local Business,0,2,0,0
Robotics,0,11,1,2
Accessibility,0,1,0,0
OrientDB,0,1,0,0
Lego Robotics,0,1,0,0
Trading,0,0,1,0
WEB SHOW,0,1,0,0
Learning,0,1,0,1
Hack,1,0,0,0
Cloud Computing Strategies and Roadmaps,0,1,0,0
Hybrid Apps,0,0,0,1
Electronics as a Hobby,0,0,1,0
Soft Skills & Behavioral Skills,0,0,1,0
Data Management,2,4,1,0
Human Rights,0,1,0,0
Small Business Marketing Strategy,1,0,1,0
Java,3,7,0,1
Apache Lucene,1,0,0,0
Scala,2,1,2,0
React Native,0,0,0,1
Struts,0,1,0,0
Excel,0,2,0,0
Content Writers Hyderabad,1,0,0,0
Apache CloudStack,1,0,0,0
Haskell,0,0,1,0
AWS Programming and Tools,1,0,1,0
To promote R for big data analytics,0,1,0,0
Online Education & Technology For Educators and HR,0,1,0,0
Become a Trainer,0,1,0,0
Scaling Scrum,0,0,0,1
Technology Professionals,1,2,0,1
Wordpress Plugins,0,1,1,1
Pattern Recognition,1,0,0,0
Recruitment,0,0,1,0
Reporting,0,1,0,0
DevOps,1,3,3,2
Software Development Process,0,1,0,0
Social CRM,0,0,1,0
Oculus Rift,0,1,0,0
MicroStrategy Dashboards,0,1,0,0
greedy algorithms,0,0,1,0
Continuous Delivery,0,2,2,0
Food Blogging,0,0,1,0
Sensors,0,1,0,0
Ruby,0,1,1,0
All things Telecom,0,1,0,0
PHP CMS,0,0,2,0
Enterprise Search,1,0,0,0
Liferay Theme Development,0,1,0,0
WebSocket,1,0,0,0
Content Strategy,0,1,0,0
Elixir Programming,0,0,0,1
SQL,0,2,1,0
PaaS (Platform as a Service),1,4,1,0
heapsort algorithms,0,0,1,0
Wordpress Customization,0,1,1,1
Professional Blogging,0,0,1,0
Microsoft PowerPoint,0,1,0,0
User Acquisition,0,0,1,0
Clojure,0,0,1,0
Microsoft,0,2,0,0
Radio Control Flying,0,0,1,0
Hyderabad,4,0,1,0
Healthcare Big Data,0,1,0,0
Dynamic Programming,0,0,1,0
SAP HANA Technology,0,1,1,0
Basics of iPhone app Development,1,0,0,0
IT Architecture,0,1,0,0
Business Strategy,0,1,2,0
Apple computers,0,1,0,0
Women Entrepreneurs,0,0,2,0
Learning Erlang and OTP,0,1,0,1
Machine-to-Machine,0,1,0,0
IVR,0,1,0,0
Website Development,0,1,0,0
Learning Drupal,2,1,0,0
PHP Application Development,0,2,1,0
Executive Recruiters,0,0,1,0
RedHat - OpenStack,0,1,0,0
UX / UI Design,1,1,1,0
User Research,0,1,0,1
Salesforce.com and Force.com,0,2,0,0
Environment,0,1,0,0
Data Structures,0,0,1,0
Data Center and Operations Automation,0,2,2,0
Startup Incubation,0,1,0,0
Content Marketing,0,1,0,0
games-based learning,0,1,0,0
Beginner Web Developer,0,0,0,1
PMP,0,1,0,0
Operations and Data Center Management,0,1,0,0
Smart Grid,0,1,1,1
Adobe CQ,0,1,1,0
Technology Innovation,0,1,0,0
Trainers in Hyderabad,0,1,0,0
Modern Architecture and Design,0,1,0,0
WordPress for Business,0,1,0,1
Mobile Services,0,0,1,0
Open Innovation,0,1,0,0
Community Building,1,0,0,0
PMI,0,1,0,0
Web Development,10,32,11,3
MySQL Replication,0,1,1,0
IoT,0,0,2,3
Usability testing,0,1,0,0
Andriod,0,1,0,0
Volunteering,1,0,0,0
AWS S3,1,0,0,0
Web Operations,0,1,0,0
Social Media for Social Change,0,1,0,0
Lean Management,0,1,0,0
Software Defined Networking,0,0,1,0
Magento Designers,1,0,0,0
VDI - Virtual Desktop Infrastructure,0,0,1,0
Test Engineering Hardware,0,1,0,0
SAP Logistics Professionals,0,2,0,0
Salesforce.com Chatter,0,1,0,0
Cloud Storage,0,1,0,0
Open Source Hardware,0,2,2,1
Content Strategy and SEO,0,3,0,0
Perl,0,0,1,0
Excel PowerPivot,0,1,0,0
RC Planes: Remote Controlled,0,1,0,0
JavaScript Applications,1,2,1,0
SQL Server 2012,0,1,0,0
Video Editing,0,0,1,0
Smarter Cities,0,0,0,1
Heroku,0,1,0,0
scrum alliance,0,0,1,1
information Retrieval,1,0,0,0
Engineering,0,2,0,0
GIS Web Developers,0,0,0,1
